Provinsi,Tanggal,Curah_Hujan_mm
DI Yogyakarta,2023-01-08,8.14451898137765
DKI Jakarta,2023-01-08,7.099690184037772
Jambi,2023-01-08,17.051999885767636
Jawa Tengah,2023-01-08,15.876697871320635
Jawa Timur,2023-01-08,2.502005973210863
Kalimantan Barat,2023-01-08,9.67836145999834
Kalimantan Selatan,2023-01-08,18.84919998593973
Kalimantan Tengah,2023-01-08,14.518466541585443
Kalimantan Timur,2023-01-08,16.501807947405894
Lampung,2023-01-08,7.523595583921606
Nusa Tenggara Barat,2023-01-08,0.00021336145612756933
Nusa Tenggara Timur,2023-01-08,0.8084638564620231
Sulawesi Tengah,2023-01-08,12.66449262687984
Sulawesi Tenggara,2023-01-08,9.082146457254536
Sumatera Barat,2023-01-08,15.358147321411154
Sumatera Utara,2023-01-08,8.293053874281084
Maluku,2023-01-09,11.442135580336071
Maluku Utara,2023-01-09,8.555705036974809
Kepulauan Bangka Belitung,2023-01-09,32.82226597317634
Banten,2023-01-09,3.027346164621951
Gorontalo,2023-01-09,4.556218816386306
Papua Barat,2023-01-09,14.023752820907932
Jawa Barat,2023-01-09,6.366372128213327
Papua,2023-01-09,4.51015262707692
Sulawesi Utara,2023-01-09,7.486348468250675
Sumatera Selatan,2023-01-09,10.289393114850204
Kepulauan Riau,2023-01-09,10.151907462138238
Riau,2023-01-09,5.5676256254741965
Sulawesi Barat,2023-01-09,5.0616790731495165
Sulawesi Selatan,2023-01-09,8.784560309748292
Aceh,2023-01-09,4.7867801698217
Bali,2023-01-09,2.347563620819193
DI Yogyakarta,2023-01-09,9.897228423835214
DKI Jakarta,2023-01-09,1.6844323000733734
Jambi,2023-01-09,8.783196788804753
Jawa Tengah,2023-01-09,11.52346205025972
Jawa Timur,2023-01-09,3.6332036138309545
Kalimantan Barat,2023-01-09,15.571519942275025
Kalimantan Selatan,2023-01-09,13.134489933896434
Kalimantan Tengah,2023-01-09,14.47317157025618
Kalimantan Timur,2023-01-09,9.410482021692786
Lampung,2023-01-09,6.994940786410143
Nusa Tenggara Barat,2023-01-09,0.2923430918414623
Nusa Tenggara Timur,2023-01-09,0.4518627026190214
Sulawesi Tengah,2023-01-09,5.738457109061772
Sulawesi Tenggara,2023-01-09,5.8468213346309375
Sumatera Barat,2023-01-09,5.20203693135278
Sumatera Utara,2023-01-09,5.65877757386524
Maluku,2023-01-10,1.1887894564076007
Maluku Utara,2023-01-10,12.1548962068324
Kepulauan Bangka Belitung,2023-01-10,6.496167100179348
Banten,2023-01-10,2.066532863079784
Gorontalo,2023-01-10,15.901134765991596
Papua Barat,2023-01-10,0.9549703996953268
Jawa Barat,2023-01-10,6.373208581841973
Papua,2023-01-10,7.423687965793191
Sulawesi Utara,2023-01-10,25.24942983271563
Sumatera Selatan,2023-01-10,14.27417084631418
Kepulauan Riau,2023-01-10,5.181540218889331
Riau,2023-01-10,12.183761378088484
Sulawesi Barat,2023-01-10,12.896750142101702
Sulawesi Selatan,2023-01-10,11.55502886922374
Aceh,2023-01-10,10.693628490362864
Bali,2023-01-10,0.0
DI Yogyakarta,2023-01-10,0.8363349151893532
DKI Jakarta,2023-01-10,3.7562708349503455
Jambi,2023-01-10,15.591264181843496
Jawa Tengah,2023-01-10,6.939499752336348
Jawa Timur,2023-01-10,1.0321505722709066
Kalimantan Barat,2023-01-10,2.2071477631696808
Kalimantan Selatan,2023-01-10,14.99850271867285
Kalimantan Tengah,2023-01-10,7.379227869696896
Kalimantan Timur,2023-01-10,13.250487716801558
Lampung,2023-01-10,3.789764164668752
Nusa Tenggara Barat,2023-01-10,0.0
Nusa Tenggara Timur,2023-01-10,0.5323556047376082
Sulawesi Tengah,2023-01-10,9.189739998794488
Sulawesi Tenggara,2023-01-10,3.4817198096946487
Sumatera Barat,2023-01-10,14.077337854637763
Sumatera Utara,2023-01-10,21.470219932134807
Maluku,2023-01-11,4.587724146556084
Maluku Utara,2023-01-11,7.378658862969052
Kepulauan Bangka Belitung,2023-01-11,13.088977990389685
Banten,2023-01-11,3.4112369056199103
Gorontalo,2023-01-11,4.6962249552775965
Papua Barat,2023-01-11,11.37348513835224
Jawa Barat,2023-01-11,3.1932886709925574
Papua,2023-01-11,4.523722244119469
Sulawesi Utara,2023-01-11,7.519452654194231
Sumatera Selatan,2023-01-11,13.75971290158832
Kepulauan Riau,2023-01-11,12.718205761436
Riau,2023-01-11,12.857169255693464
Sulawesi Barat,2023-01-11,4.642207535362321
Sulawesi Selatan,2023-01-11,3.7750400883073056
Aceh,2023-01-11,4.447473755590777
Bali,2023-01-11,0.3386798281652074
DI Yogyakarta,2023-01-11,0.0
DKI Jakarta,2023-01-11,8.325125684613383
Jambi,2023-01-11,15.46851993527566
Jawa Tengah,2023-01-11,1.0799125240573266
Jawa Timur,2023-01-11,1.4461745632685068
Kalimantan Barat,2023-01-11,5.203705557922274
Kalimantan Selatan,2023-01-11,8.016978581471125
Kalimantan Tengah,2023-01-11,4.575589665789241
Kalimantan Timur,2023-01-11,9.041738402151026
Lampung,2023-01-11,8.863412245143335
Nusa Tenggara Barat,2023-01-11,0.0388032776901469
Nusa Tenggara Timur,2023-01-11,1.783460070241839
Sulawesi Tengah,2023-01-11,5.296120471186933
Sulawesi Tenggara,2023-01-11,2.842257670786309
Sumatera Barat,2023-01-11,14.699285095675776
Sumatera Utara,2023-01-11,9.141675887135666
Maluku,2023-01-12,6.166605322985481
Maluku Utara,2023-01-12,8.68380974814686
Kepulauan Bangka Belitung,2023-01-12,4.078656387214934
Banten,2023-01-12,0.0519044782523885
Gorontalo,2023-01-12,20.528237689334244
Papua Barat,2023-01-12,3.262451778947387
Jawa Barat,2023-01-12,0.6387476932994596
Papua,2023-01-12,8.96767450600618
Sulawesi Utara,2023-01-12,33.71251417692163
Sumatera Selatan,2023-01-12,17.258420664733304
Kepulauan Riau,2023-01-12,0.9200996045722118
Riau,2023-01-12,4.7339091767683055
Sulawesi Barat,2023-01-12,1.4619563132054565
Sulawesi Selatan,2023-01-12,4.129161068292105
Aceh,2023-01-12,4.829990025380373
Bali,2023-01-12,0.0
DI Yogyakarta,2023-01-12,3.848224431290652
DKI Jakarta,2023-01-12,0.0
Jambi,2023-01-12,17.20362317972878
Jawa Tengah,2023-01-12,6.858360227876486
Jawa Timur,2023-01-12,1.2028963883026595
Kalimantan Barat,2023-01-12,4.878578892549933
Kalimantan Selatan,2023-01-12,5.120579496523424
Kalimantan Tengah,2023-01-12,5.106201043371341
Kalimantan Timur,2023-01-12,9.517040725018935
Lampung,2023-01-12,0.8709569774820627
Nusa Tenggara Barat,2023-01-12,0.8437637244501421
Nusa Tenggara Timur,2023-01-12,0.6048106073743081
Sulawesi Tengah,2023-01-12,11.640012648377285
Sulawesi Tenggara,2023-01-12,3.14566471749242
Sumatera Barat,2023-01-12,9.233034874798244
Sumatera Utara,2023-01-12,7.69780798942184
Maluku,2023-01-13,2.2957844849894817
Maluku Utara,2023-01-13,0.0456163936366618
Kepulauan Bangka Belitung,2023-01-13,6.144306192271874
Banten,2023-01-13,7.509360157521399
Gorontalo,2023-01-13,0.5693148251055787
Papua Barat,2023-01-13,0.9028834099779096
Jawa Barat,2023-01-13,2.894401006430312
Papua,2023-01-13,7.154841593345433
Sulawesi Utara,2023-01-13,3.4197039593202567
Sumatera Selatan,2023-01-13,10.77024253072665
Kepulauan Riau,2023-01-13,1.5058992953083754
Riau,2023-01-13,8.32614748093104
Sulawesi Barat,2023-01-13,0.4466043364490931
Sulawesi Selatan,2023-01-13,2.142302734034724
Aceh,2023-01-13,9.49816924080312
Bali,2023-01-13,0.2402284462806444
DI Yogyakarta,2023-01-13,2.321907565517435
DKI Jakarta,2023-01-13,0.0942105875867898
Jambi,2023-01-13,14.207089747078738
Jawa Tengah,2023-01-13,1.6169992615491116
Jawa Timur,2023-01-13,0.7654454365628764
Kalimantan Barat,2023-01-13,11.810354137627687
Kalimantan Selatan,2023-01-13,2.488845010766956
Kalimantan Tengah,2023-01-13,8.90663848947504
Kalimantan Timur,2023-01-13,7.887535025311433
Lampung,2023-01-13,7.273170957308681
Nusa Tenggara Barat,2023-01-13,2.396453015782819
Nusa Tenggara Timur,2023-01-13,3.0355433646568266
Sulawesi Tengah,2023-01-13,0.7130086054817055
Sulawesi Tenggara,2023-01-13,3.072664654710226
Sumatera Barat,2023-01-13,12.810428177059158
Sumatera Utara,2023-01-13,7.989254318222922
Maluku,2023-01-14,1.7811424351966898
Maluku Utara,2023-01-14,0.1843390175284469
Kepulauan Bangka Belitung,2023-01-14,6.730614050003334
Banten,2023-01-14,3.731424025971483
Gorontalo,2023-01-14,0.1684688672635154
Papua Barat,2023-01-14,3.2269007277870143
Jawa Barat,2023-01-14,3.8534076913472903
Papua,2023-01-14,4.646519777870817
Sulawesi Utara,2023-01-14,2.8611139773955068
Sumatera Selatan,2023-01-14,8.202872783867953
Kepulauan Riau,2023-01-14,2.841964084966367
Riau,2023-01-14,6.12781491358125
Sulawesi Barat,2023-01-14,0.0824862416196114
Sulawesi Selatan,2023-01-14,0.701915509915942
Aceh,2023-01-14,11.127152497145769
Bali,2023-01-14,0.6756900212610106
DI Yogyakarta,2023-01-14,1.2332922150781374
DKI Jakarta,2023-01-14,1.7284304228518717
Jambi,2023-01-14,7.753855880650519
Jawa Tengah,2023-01-14,4.086384486927779
Jawa Timur,2023-01-14,3.139633658606711
Kalimantan Barat,2023-01-14,4.769695861468161
Kalimantan Selatan,2023-01-14,3.5811981808279314
Kalimantan Tengah,2023-01-14,2.6832623342318027
Kalimantan Timur,2023-01-14,3.1555622958428096
Lampung,2023-01-14,4.093615472546971
Nusa Tenggara Barat,2023-01-14,1.9377112716923457
Nusa Tenggara Timur,2023-01-14,3.058366163976451
Sulawesi Tengah,2023-01-14,0.7605263064937321
Sulawesi Tenggara,2023-01-14,3.029544467105883
Sumatera Barat,2023-01-14,13.697017534756784
Sumatera Utara,2023-01-14,10.137456214889967
Maluku,2023-01-15,8.315352219710865
Maluku Utara,2023-01-15,8.416180702772825
Kepulauan Bangka Belitung,2023-01-15,10.619669138038436
Banten,2023-01-15,1.4285384608854217
