Provinsi,Tahun_Raw,LuasPanen,Tahun
Sumatera Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2021,193.75,2021
Sumatera Utara,Luas Panen Bawang Merah (hektar) (Ha) 2021,4374.14,2021
Aceh,Luas Panen Bawang Merah (hektar) (Ha) 2020,1470.65,2020
Bali,Luas Panen Bawang Merah (hektar) (Ha) 2020,989.82,2020
Banten,Luas Panen Bawang Merah (hektar) (Ha) 2020,229.0,2020
DI Yogyakarta,Luas Panen Bawang Merah (hektar) (Ha) 2020,1891.11,2020
DKI Jakarta,Luas Panen Bawang Merah (hektar) (Ha) 2020,0.0,2020
Gorontalo,Luas Panen Bawang Merah (hektar) (Ha) 2020,115.0,2020
Jambi,Luas Panen Bawang Merah (hektar) (Ha) 2020,1750.6,2020
Jawa Barat,Luas Panen Bawang Merah (hektar) (Ha) 2020,15042.1,2020
Jawa Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2020,65411.0,2020
Jawa Timur,Luas Panen Bawang Merah (hektar) (Ha) 2020,47496.8,2020
Kalimantan Barat,Luas Panen Bawang Merah (hektar) (Ha) 2020,118.0,2020
Kalimantan Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2020,88.5,2020
Kalimantan Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2020,28.65,2020
Kalimantan Timur,Luas Panen Bawang Merah (hektar) (Ha) 2020,77.95,2020
Kalimantan Utara,Luas Panen Bawang Merah (hektar) (Ha) 2020,39.0,2020
Kepulauan Bangka Belitung,Luas Panen Bawang Merah (hektar) (Ha) 2020,22.45,2020
Kepulauan Riau,Luas Panen Bawang Merah (hektar) (Ha) 2020,19.43,2020
Lampung,Luas Panen Bawang Merah (hektar) (Ha) 2020,262.0,2020
Maluku,Luas Panen Bawang Merah (hektar) (Ha) 2020,216.0,2020
Maluku Utara,Luas Panen Bawang Merah (hektar) (Ha) 2020,347.5,2020
Nusa Tenggara Barat,Luas Panen Bawang Merah (hektar) (Ha) 2020,17570.09,2020
Nusa Tenggara Timur,Luas Panen Bawang Merah (hektar) (Ha) 2020,1653.59,2020
Papua,Luas Panen Bawang Merah (hektar) (Ha) 2020,45.8,2020
