Tanggal,Provinsi,Harga,delta_1h,pct_change_1h,z_score_30h,median_nasional_hari_itu,selisih_nasional,skor_anomali
2024-11-29,Lampung,36900.0,500.0,1.3736263736263687,0.9804733602195699,0.0,1.3736263736263687,0.41686484726931144
2024-12-02,Lampung,35000.0,-1900.0,-5.1490514905149,0.5217083560015843,0.0,-5.1490514905149,0.5896376423886724
2024-12-03,Lampung,35150.0,150.0,0.4285714285714226,0.5053386442321148,0.0,0.4285714285714226,0.38157068098467056
2024-12-04,Lampung,35650.0,500.0,1.4224751066856278,0.5771280057639572,0.0,1.4224751066856278,0.4220545394747656
2024-12-05,Lampung,36900.0,1250.0,3.5063113604488105,0.8538699456706783,0.0,3.5063113604488105,0.4955602386434304
2024-12-06,Lampung,36900.0,0.0,0.0,0.8167681838561482,0.0,0.0,0.33741679624765714
2024-12-09,Lampung,37500.0,600.0,1.6260162601626105,0.9708933422320606,0.0,1.6260162601626105,0.43052386925382213
2024-12-10,Lampung,37250.0,-250.0,-0.666666666666671,0.8733221623816131,0.0,-0.666666666666671,0.39088030925089456
2024-12-11,Lampung,37250.0,0.0,0.0,0.9099054799768803,0.0,0.0,0.33635778782917714
2024-12-12,Lampung,37000.0,-250.0,-0.6711409395973145,0.8524050273968318,0.0,-0.6711409395973145,0.39108601901708956
2024-12-13,Lampung,36500.0,-500.0,-1.3513513513513487,0.6774880114339589,0.0,-1.3513513513513487,0.4216234989578266
2024-12-16,Lampung,36500.0,0.0,0.0,0.6273626243158553,0.0,0.0,0.33945069107805814
2024-12-17,Lampung,36500.0,0.0,0.0,0.5782592948593087,0.0,0.0,0.3399132445397476
2024-12-18,Lampung,37000.0,500.0,1.3698630136986356,1.099924145777621,0.0,1.3698630136986356,0.4153988089416004
2024-12-19,Lampung,37000.0,0.0,0.0,1.0660281314155815,0.0,0.0,0.33735536980135944
2024-12-20,Lampung,37250.0,250.0,0.6756756756756799,1.2914227952635189,0.0,0.6756756756756799,0.39430992486465766
2024-12-23,Lampung,37000.0,-250.0,-0.6711409395973145,0.9188101520833333,0.0,-0.6711409395973145,0.3915770694758656
2024-12-24,Lampung,36750.0,-250.0,-0.6756756756756799,0.5531614472378551,0.0,-0.6756756756756799,0.3848166135033785
2024-12-25,Lampung,36750.0,0.0,0.0,0.5024852786873757,0.0,0.0,0.3374704821231785
2024-12-26,Lampung,36750.0,0.0,0.0,0.4514530340567071,0.0,0.0,0.33725100500067484
2024-12-27,Lampung,37250.0,500.0,1.3605442176870763,1.1176140346529717,0.0,1.3605442176870763,0.41472189826432576
2024-12-30,Lampung,36150.0,-1100.0,-2.9530201342281903,-0.5663377144871932,0.0,-2.9530201342281903,0.48206781759561346
2024-12-31,Lampung,35750.0,-400.0,-1.1065006915629283,-1.1785947031219968,0.0,-1.1065006915629283,0.40054087933923793
2025-01-01,Lampung,35750.0,0.0,0.0,-1.1510366760977422,0.0,0.0,0.33308123545286716
2025-01-02,Lampung,35750.0,0.0,0.0,-1.1635505958187524,0.0,0.0,0.3331812706039653
2025-01-03,Lampung,35500.0,-250.0,-0.6993006993006978,-1.5437958885699787,0.0,-0.6993006993006978,0.3872456786706552
2025-01-06,Lampung,35500.0,0.0,0.0,-1.4422965060979223,-0.24125452352231624,0.24125452352231624,0.34345418265851885
2025-01-07,Lampung,35500.0,0.0,0.0,-1.3476075083696808,0.0,0.0,0.33698629157755133
2025-01-08,Lampung,35000.0,-500.0,-1.4084507042253502,-1.8586670296817944,0.0,-1.4084507042253502,0.43025448515593406
2025-01-09,Lampung,35500.0,500.0,1.4285714285714235,-1.1292691553404683,0.0,1.4285714285714235,0.4406499109318176
2025-01-10,Lampung,33250.0,-2250.0,-6.338028169014088,-3.1502308443381226,0.0,-6.338028169014088,0.6673972467621131
2025-01-13,Lampung,32500.0,-750.0,-2.2556390977443663,-3.178510584040151,-0.8350730688935326,-1.4205660288508337,0.5363549762683976
2025-01-14,Lampung,32500.0,0.0,0.0,-2.704475076221738,0.0,0.0,0.4327314710727192
2025-01-15,Lampung,32500.0,0.0,0.0,-2.3554455614617984,0.0,0.0,0.4077848404594832
2025-01-16,Lampung,32750.0,250.0,0.7692307692307665,-1.9576742270555445,0.0,0.7692307692307665,0.44626470761554693
2025-01-17,Lampung,32900.0,150.0,0.45801526717557106,-1.6978731723907132,0.0,0.45801526717557106,0.4036701718849899
2025-01-20,Lampung,32650.0,-250.0,-0.7598784194528863,-1.6954845856297465,-0.7598784194528863,0.0,0.39633419528725455
2025-01-21,Lampung,32000.0,-650.0,-1.9908116385911168,-1.8796167191838742,0.0,-1.9908116385911168,0.45376006314189066
2025-01-22,Lampung,31750.0,-250.0,-0.78125,-1.8347331033853087,-0.7738607050730817,-0.007389294926918311,0.4073799537157609
2025-01-23,Lampung,31900.0,150.0,0.47244094488188004,-1.6120661653601047,0.0,0.47244094488188004,0.40196403646363277
2025-01-24,Lampung,31650.0,-250.0,-0.7836990595611271,-1.5975916554458534,0.0,-0.7836990595611271,0.39235629340425
2025-01-27,Lampung,31650.0,0.0,0.0,-1.474805150279362,0.0,0.0,0.3370840843024983
2025-01-28,Lampung,31650.0,0.0,0.0,-1.3679244452608343,0.0,0.0,0.33698629157755133
2025-01-29,Lampung,31650.0,0.0,0.0,-1.2771429669127692,0.0,0.0,0.33585924170256787
2025-01-30,Lampung,31900.0,250.0,0.789889415481837,-1.0863724092012557,-2.135231316725983,2.92512073220782,0.46254499825333634
2025-01-31,Lampung,31400.0,-500.0,-1.5673981191222541,-1.24583558572847,0.0,-1.5673981191222541,0.41649516088998934
2025-02-03,Lampung,30900.0,-500.0,-1.5923566878980888,-1.3935721393808669,-0.48154093097912964,-1.1108157569189592,0.41310305273748293
2025-02-04,Lampung,30150.0,-750.0,-2.4271844660194164,-1.6310183103231075,0.0,-2.4271844660194164,0.4507952065099789
2025-02-05,Lampung,29900.0,-250.0,-0.8291873963515717,-1.6307678114284907,0.0,-0.8291873963515717,0.39380384153594944
2025-02-06,Lampung,29900.0,0.0,0.0,-1.5310659640092923,0.0,0.0,0.33872516995999297
2025-02-07,Lampung,28900.0,-1000.0,-3.3444816053511683,-1.8898217985241315,0.0,-3.3444816053511683,0.5057471367133174
2025-02-10,Lampung,29500.0,600.0,2.076124567474058,-1.5030853471926322,-0.47244094488189115,2.548565512355949,0.4969405962467022
2025-02-11,Lampung,28900.0,-600.0,-2.033898305084747,-1.6679953986396394,0.0,-2.033898305084747,0.4408126773244791
2025-02-12,Lampung,28400.0,-500.0,-1.730103806228378,-1.7721213059511296,0.0,-1.730103806228378,0.43554663683556577
2025-02-13,Lampung,28400.0,0.0,0.0,-1.6621528544361384,0.0,0.0,0.3445754550414682
2025-02-14,Lampung,27900.0,-500.0,-1.7605633802816878,-1.7736420786288318,0.0,-1.7605633802816878,0.43820705957322637
2025-02-17,Lampung,27400.0,-500.0,-1.7921146953404965,-1.8774397874039357,0.0,-1.7921146953404965,0.4460749227188368
2025-02-18,Lampung,27650.0,250.0,0.9124087591240837,-1.6702803149685725,0.0,0.9124087591240837,0.43434168346365926
2025-02-19,Lampung,28400.0,750.0,2.7124773960216952,-1.248897793944363,0.0,2.7124773960216952,0.5057071742988755
2025-02-20,Lampung,28750.0,350.0,1.232394366197176,-1.046882315899213,0.0,1.232394366197176,0.42409503710977786
2025-02-21,Lampung,28900.0,150.0,0.521739130434784,-0.905192137807278,0.0,0.521739130434784,0.3874597179010307
2025-02-24,Lampung,30750.0,1850.0,6.401384083044981,0.17151746848482854,1.5116279069767424,4.889756176068238,0.5684709719052672
2025-02-25,Lampung,31750.0,1000.0,3.2520325203251987,0.7720161156146521,0.0,3.2520325203251987,0.4909947746237252
2025-02-26,Lampung,32400.0,650.0,2.0472440944881987,1.1559129318055363,0.2949852507374562,1.7522588437507425,0.43761847377197904
2025-02-27,Lampung,33650.0,1250.0,3.8580246913580307,1.8168515794146243,0.0,3.8580246913580307,0.5009273389905029
2025-02-28,Lampung,35150.0,1500.0,4.457652303120363,2.4210539611912445,0.0,4.457652303120363,0.5381978107897256
2025-03-03,Lampung,36900.0,1750.0,4.97866287339972,2.823652341364093,2.212855637513167,2.7658072358865526,0.5498114852146615
2025-03-04,Lampung,39400.0,2500.0,6.77506775067751,3.1244252898414473,0.0,6.77506775067751,0.6222388123081029
2025-03-05,Lampung,40650.0,1250.0,3.1725888324872997,2.908902357408695,0.0,3.1725888324872997,0.5187371108543375
2025-03-06,Lampung,43400.0,2750.0,6.765067650676504,3.0002876437979547,0.0,6.765067650676504,0.6267548480302767
2025-03-07,Lampung,48250.0,4850.0,11.175115207373265,3.2379703578131216,0.0,11.175115207373265,0.7269999824916152
2025-03-10,Lampung,48750.0,500.0,1.0362694300518172,2.753961365473804,0.2024291497975783,0.8338402802542388,0.4585945214584283
2025-03-11,Lampung,47500.0,-1250.0,-2.564102564102566,2.223430557005916,0.0,-2.564102564102566,0.5397098036248542
2025-03-12,Lampung,45500.0,-2000.0,-4.210526315789476,1.7392391978732415,0.0,-4.210526315789476,0.595471061562343
2025-03-13,Lampung,45500.0,0.0,0.0,1.5965527181149024,0.0,0.0,0.34970811324398793
2025-03-14,Lampung,46150.0,650.0,1.4285714285714235,1.5519440421855488,0.0,1.4285714285714235,0.4276623971078809
2025-03-17,Lampung,47750.0,1600.0,3.4669555796316365,1.6185619481390234,0.5012531328320913,2.965702446799545,0.5019296281961076
2025-03-18,Lampung,46750.0,-1000.0,-2.0942408376963373,1.379559689919295,0.0,-2.0942408376963373,0.4868184917663825
2025-03-19,Lampung,46500.0,-250.0,-0.5347593582887722,1.254450410892316,0.0,-0.5347593582887722,0.39239369386451173
2025-03-20,Lampung,46500.0,0.0,0.0,1.1700711034508495,0.0,0.0,0.337192277864344
2025-03-21,Lampung,46500.0,0.0,0.0,1.093552433998858,0.0,0.0,0.33735536980135944
2025-03-24,Lampung,46400.0,-100.0,-0.21505376344086446,1.0115125422174531,0.6802721088435382,-0.8953258722844026,0.3810827085143685
2025-03-25,Lampung,45750.0,-650.0,-1.4008620689655138,0.8724397425295504,0.0,-1.4008620689655138,0.43623606802125847
2025-03-26,Lampung,46400.0,650.0,1.4207650273224015,0.8908283553812241,0.2666666666666595,1.154098360655742,0.42232531644092547
2025-03-27,Lampung,45750.0,-650.0,-1.4008620689655138,0.7558608105571577,0.0,-1.4008620689655138,0.4337839310859573
2025-03-28,Lampung,45750.0,0.0,0.0,0.7034458299630573,0.0,0.0,0.3366707451513754
2025-03-31,Lampung,45750.0,0.0,0.0,0.6530821691040952,0.0,0.0,0.33846626486157755
2025-04-01,Lampung,45750.0,0.0,0.0,0.6037270319950592,0.0,0.0,0.33857241293959855
2025-04-02,Lampung,45750.0,0.0,0.0,0.5543788838261983,0.0,0.0,0.33815708975532005
2025-04-03,Lampung,45750.0,0.0,0.0,0.5049402988918498,0.0,0.0,0.3374704821231785
2025-04-04,Lampung,45750.0,0.0,0.0,0.4551443373378281,0.0,0.0,0.33725100500067484
2025-04-07,Lampung,45750.0,0.0,0.0,0.40223475805777525,0.0,0.0,0.3364652134193405
2025-04-08,Lampung,54350.0,8600.0,18.797814207650276,2.0839058601837195,0.6346328195829587,18.16318138806732,0.7659682564758403
2025-04-09,Lampung,54350.0,0.0,0.0,2.037695139066328,0.0,0.0,0.3675568701686152
2025-04-10,Lampung,52750.0,-1600.0,-2.9438822447102164,1.674022341697795,0.0,-2.9438822447102164,0.5488198896825883
2025-04-11,Lampung,51550.0,-1200.0,-2.274881516587679,1.3865330787402146,0.0,-2.274881516587679,0.4968771701057851
2025-04-14,Lampung,51650.0,100.0,0.19398642095054264,1.4154935025455848,0.0,0.19398642095054264,0.37321669935777774
2025-04-15,Lampung,49750.0,-1900.0,-3.6786060019361133,0.8097104084316821,0.0,-3.6786060019361133,0.554952379845591
2025-04-16,Lampung,49400.0,-350.0,-0.7035175879396949,0.6521288595925138,0.0,-0.7035175879396949,0.3946924499628552
2025-04-17,Lampung,49000.0,-400.0,-0.8097165991902799,0.4590027923458011,0.0,-0.8097165991902799,0.3962049623556624
2025-04-18,Lampung,49000.0,0.0,0.0,0.44834233379475547,0.0,0.0,0.3370469001013981
2025-04-21,Lampung,44650.0,-4350.0,-8.87755102040816,-1.0934148851272503,-0.5102040816326481,-8.367346938775512,0.690378392095778
2025-04-22,Lampung,43750.0,-900.0,-2.015677491601342,-1.3312972867254695,0.0,-2.015677491601342,0.4369727513586565
2025-04-23,Lampung,43000.0,-750.0,-1.7142857142857126,-1.5145265403357753,0.0,-1.7142857142857126,0.43198205306919707
2025-04-24,Lampung,42900.0,-100.0,-0.23255813953488857,-1.4708540429200812,-0.3456221198156695,0.1130639802807809,0.3601790300767783
2025-04-25,Lampung,42000.0,-900.0,-2.0979020979020935,-1.6418269230313296,-0.35502958579881616,-1.7428725121032773,0.4412023453477408
2025-04-28,Lampung,39250.0,-2750.0,-6.547619047619047,-2.199940630777432,-1.5700483091787398,-4.977570738440306,0.635492445162231
2025-04-29,Lampung,39650.0,400.0,1.0191082802547768,-1.8855722749288437,0.0,1.0191082802547768,0.4599282426475479
2025-04-30,Lampung,39250.0,-400.0,-1.0088272383354302,-1.8116358764090443,0.0,-1.0088272383354302,0.4168545263687797
2025-05-01,Lampung,39250.0,0.0,0.0,-1.662375852699496,0.0,0.0,0.3445754550414682
2025-05-02,Lampung,39000.0,-250.0,-0.6369426751592355,-1.586154345679684,-0.2677376171352108,-0.3692050580240247,0.38819763415155584
2025-05-05,Lampung,38400.0,-600.0,-1.538461538461533,-1.5859852333684836,-1.538461538461533,0.0,0.4280646283733662
2025-05-06,Lampung,38000.0,-400.0,-1.041666666666663,-1.5462763330418958,0.0,-1.041666666666663,0.40181021082904694
2025-05-07,Lampung,39500.0,1500.0,3.9473684210526327,-1.1589219175612373,0.0,3.9473684210526327,0.5562400901020678
2025-05-08,Lampung,40000.0,500.0,1.2658227848101333,-1.0004813629944191,0.0,1.2658227848101333,0.42905721120116086
2025-05-09,Lampung,40000.0,0.0,0.0,-0.9471291429039392,0.0,0.0,0.3336558179118868
2025-05-12,Lampung,40000.0,0.0,0.0,-0.8969199772336685,0.0,0.0,0.3335744123514069
2025-05-13,Lampung,40000.0,0.0,0.0,-0.84942002463087,0.0,0.0,0.33434887277526526
2025-05-14,Lampung,39000.0,-1000.0,-2.500000000000002,-0.9812689531807072,-0.6369426751592355,-1.8630573248407667,0.4464995603908355
2025-05-15,Lampung,38250.0,-750.0,-1.9230769230769273,-1.0552135932932496,0.0,-1.9230769230769273,0.4323216261600872
2025-05-16,Lampung,37750.0,-500.0,-1.3071895424836555,-1.0773391601976978,0.0,-1.3071895424836555,0.40696021383479697
2025-05-19,Lampung,37400.0,-350.0,-0.9271523178807972,-1.0704072360614554,0.0,-0.9271523178807972,0.39422159096713555
2025-05-20,Lampung,37750.0,350.0,0.9358288770053402,-0.9617187609429892,0.0,0.9358288770053402,0.41001557544479006
2025-05-21,Lampung,37750.0,0.0,0.0,-0.924671058466183,0.0,0.0,0.33386566444893223
2025-05-22,Lampung,36650.0,-1100.0,-2.9139072847682135,-1.1074502769568364,0.0,-2.9139072847682135,0.47415676296035536
2025-05-23,Lampung,35250.0,-1400.0,-3.8199181446111896,-1.3612581710660663,0.0,-3.8199181446111896,0.5169553241799965
2025-05-26,Lampung,36500.0,1250.0,3.546099290780136,-1.0542430317307785,0.0,3.546099290780136,0.5366340754958812
2025-05-27,Lampung,36500.0,0.0,0.0,-1.022936328933585,0.0,0.0,0.3344479961613811
2025-05-28,Lampung,35150.0,-1350.0,-3.698630136986303,-1.3724203318675947,0.0,-3.698630136986303,0.5110075771846947
2025-05-29,Lampung,35150.0,0.0,0.0,-1.387316445970414,0.0,0.0,0.3368278675947522
2025-05-30,Lampung,35150.0,0.0,0.0,-1.4829532801600571,0.0,0.0,0.3370723537608024
2025-06-02,Lampung,35000.0,-150.0,-0.4267425320056861,-1.5031123525763577,0.0,-0.4267425320056861,0.3706977872577234
2025-06-03,Lampung,35650.0,650.0,1.857142857142846,-1.1929808480733424,0.0,1.857142857142846,0.4615425546515082
2025-06-04,Lampung,36000.0,350.0,0.9817671809256634,-0.9967729457453126,0.0,0.9817671809256634,0.41257237860583595
2025-06-05,Lampung,36650.0,650.0,1.8055555555555491,-0.6446425031320037,0.0,1.8055555555555491,0.4463870128061257
2025-06-06,Lampung,36650.0,0.0,0.0,-0.6006069695219046,0.0,0.0,0.33493829968265465
2025-06-09,Lampung,36650.0,0.0,0.0,-0.5554737537727805,0.0,0.0,0.3359903870408916
2025-06-10,Lampung,36250.0,-400.0,-1.0914051841746208,-0.7359632726396782,1.1235955056179803,-2.215000689792601,0.425767509030566
2025-06-11,Lampung,38400.0,2150.0,5.931034482758624,0.5720601585627855,0.0,5.931034482758624,0.5868213128273176
2025-06-12,Lampung,41400.0,3000.0,7.8125,2.1826907210011735,0.6802721088435382,7.132227891156462,0.6388973626750851
2025-06-13,Lampung,41400.0,0.0,0.0,2.0034532476022204,0.2902757619738683,-0.2902757619738683,0.3780218910323633
2025-06-16,Lampung,43250.0,1850.0,4.468599033816423,2.5463386468691778,5.022831050228316,-0.554232016411893,0.5517357155320046
2025-06-17,Lampung,43250.0,0.0,0.0,2.2350997280686005,0.5228758169934622,-0.5228758169934622,0.3966530774348076
2025-06-18,Lampung,43250.0,0.0,0.0,2.0311112650393452,0.0,0.0,0.36680892662069997
2025-06-19,Lampung,42650.0,-600.0,-1.387283236994219,1.6868560173705116,0.0,-1.387283236994219,0.46113108851433027
2025-06-20,Lampung,42400.0,-250.0,-0.586166471277838,1.5109380095851694,0.0,-0.586166471277838,0.39983041856570595
2025-06-23,Lampung,41000.0,-1400.0,-3.301886792452835,0.9808020645394845,0.0,-3.301886792452835,0.5221556487983687
2025-06-24,Lampung,41000.0,0.0,0.0,0.9594211721794152,0.0,0.0,0.33710079730939907
2025-06-25,Lampung,40750.0,-250.0,-0.6097560975609762,0.8398840845179402,0.0,-0.6097560975609762,0.3868956979443326
2025-06-26,Lampung,40150.0,-600.0,-1.4723926380368124,0.602689245719012,0.0,-1.4723926380368124,0.42874509569220803
2025-06-27,Lampung,40150.0,0.0,0.0,0.5719429604825786,0.0,0.0,0.33852734362886744
2025-06-30,Lampung,39400.0,-750.0,-1.8679950186799466,0.28833236493462966,-1.8679950186799466,0.0,0.43848892361209757
2025-07-01,Lampung,38500.0,-900.0,-2.2842639593908642,-0.03369696420814186,0.0,-2.2842639593908642,0.45353144783018445
2025-07-02,Lampung,39000.0,500.0,1.298701298701288,0.12623356104366265,0.0,1.298701298701288,0.42280898819184387
2025-07-03,Lampung,39400.0,400.0,1.025641025641022,0.2356533901160316,0.0,1.025641025641022,0.4095510628967826
2025-07-04,Lampung,39400.0,0.0,0.0,0.19207847626644384,0.0,0.0,0.33581979838358184
