Provinsi_Asal,Provinsi_Tujuan,lag_hari,p_value_raw,kontrol,n_observasi,jenis_pasangan,p_value_terkoreksi,signifikan
Jawa Barat,Kalimantan Barat,1,0.061039442763503426,dengan_kontrol,574,distribusi,0.09178863573459162,False
Jawa Barat,Kalimantan Barat,3,8.46840749900636e-05,dengan_kontrol,574,distribusi,0.0002799473553390532,True
Jawa Barat,Kalimantan Barat,7,3.4726832188220986e-07,dengan_kontrol,574,distribusi,2.042754834601234e-06,True
Jawa Barat,Kalimantan Barat,14,2.1405539135348813e-06,dengan_kontrol,574,distribusi,1.0193113873975625e-05,True
Jawa Tengah,Kalimantan Barat,1,0.6268000634989446,dengan_kontrol,574,distribusi,0.6685867343988742,False
Jawa Tengah,Kalimantan Barat,3,0.12040759270513983,dengan_kontrol,574,distribusi,0.16326453248154552,False
Jawa Tengah,Kalimantan Barat,7,0.003011963636025457,dengan_kontrol,574,distribusi,0.00665627322878554,True
Jawa Tengah,Kalimantan Barat,14,0.005226798839266871,dengan_kontrol,574,distribusi,0.010776904823230661,True
Jawa Timur,Kalimantan Barat,1,0.03477991942126221,dengan_kontrol,574,distribusi,0.055681200153900864,False
Jawa Timur,Kalimantan Barat,3,0.19126255164879374,dengan_kontrol,574,distribusi,0.2436465626099283,False
Jawa Timur,Kalimantan Barat,7,0.0018471638657224462,dengan_kontrol,574,distribusi,0.004301244695004541,True
Jawa Timur,Kalimantan Barat,14,0.030306072428331984,dengan_kontrol,574,distribusi,0.04968208594808522,True
Kalimantan Tengah,Kalimantan Barat,1,0.003072432413994195,dengan_kontrol,574,distribusi,0.0067290628195510495,True
Kalimantan Tengah,Kalimantan Barat,3,0.02042424801395211,dengan_kontrol,574,distribusi,0.03521422071371053,True
Kalimantan Tengah,Kalimantan Barat,7,0.013303978080583045,dengan_kontrol,574,distribusi,0.023757103715326862,True
Kalimantan Tengah,Kalimantan Barat,14,0.029226761798710907,dengan_kontrol,574,distribusi,0.04810989596495622,True
Jawa Tengah,Kalimantan Selatan,1,3.0839003032829575e-06,dengan_kontrol,574,distribusi,1.4178851969117046e-05,True
Jawa Tengah,Kalimantan Selatan,3,1.3667170986360262e-06,dengan_kontrol,574,distribusi,6.833585493180131e-06,True
Jawa Tengah,Kalimantan Selatan,7,5.1547107626835995e-06,dengan_kontrol,574,distribusi,2.290982561192711e-05,True
Jawa Tengah,Kalimantan Selatan,14,1.4580383494191697e-05,dengan_kontrol,574,distribusi,5.554431807311123e-05,True
Jawa Timur,Kalimantan Selatan,1,2.607500204877329e-05,dengan_kontrol,574,distribusi,9.48181892682665e-05,True
Jawa Timur,Kalimantan Selatan,3,0.0004926523357792005,dengan_kontrol,574,distribusi,0.001305039300077352,True
Jawa Timur,Kalimantan Selatan,7,2.590992878888513e-05,dengan_kontrol,574,distribusi,9.48181892682665e-05,True
Jawa Timur,Kalimantan Selatan,14,2.532733931543201e-05,dengan_kontrol,574,distribusi,9.380496042752596e-05,True
Nusa Tenggara Barat,Kalimantan Selatan,1,0.09373700033621694,dengan_kontrol,574,distribusi,0.1324904598391759,False
Nusa Tenggara Barat,Kalimantan Selatan,3,0.003703551341470864,dengan_kontrol,574,distribusi,0.007964626540797557,True
Nusa Tenggara Barat,Kalimantan Selatan,7,0.00013006516739847522,dengan_kontrol,574,distribusi,0.00041290529332849277,True
Nusa Tenggara Barat,Kalimantan Selatan,14,3.919761962706939e-06,dengan_kontrol,574,distribusi,1.7817099830486084e-05,True
Sulawesi Selatan,Kalimantan Selatan,1,0.03941355893309638,dengan_kontrol,574,distribusi,0.06158368583296309,False
Sulawesi Selatan,Kalimantan Selatan,3,0.110103225882177,dengan_kontrol,574,distribusi,0.1503115711702075,False
Sulawesi Selatan,Kalimantan Selatan,7,0.36301901117477015,dengan_kontrol,574,distribusi,0.4296082972482487,False
Sulawesi Selatan,Kalimantan Selatan,14,0.3425974941049332,dengan_kontrol,574,distribusi,0.409071634752159,False
Jawa Tengah,Kalimantan Tengah,1,0.018013992386821293,dengan_kontrol,574,distribusi,0.031603495415475955,True
Jawa Tengah,Kalimantan Tengah,3,1.3318794543646275e-05,dengan_kontrol,574,distribusi,5.1723473955907865e-05,True
Jawa Tengah,Kalimantan Tengah,7,0.00013606481099200421,dengan_kontrol,574,distribusi,0.00042855058580158805,True
Jawa Tengah,Kalimantan Tengah,14,0.00035214691038442736,dengan_kontrol,574,distribusi,0.0009781858621789648,True
Jawa Timur,Kalimantan Tengah,1,0.3802016090510716,dengan_kontrol,574,distribusi,0.44598429214201946,False
Jawa Timur,Kalimantan Tengah,3,0.0009201951831495377,dengan_kontrol,574,distribusi,0.002300487957873844,True
Jawa Timur,Kalimantan Tengah,7,0.0006024685533935025,dengan_kontrol,574,distribusi,0.001534951728391089,True
Jawa Timur,Kalimantan Tengah,14,0.004297857329256,dengan_kontrol,574,distribusi,0.009000748333520419,True
Kalimantan Selatan,Kalimantan Tengah,1,1.7627892069400888e-15,dengan_kontrol,574,distribusi,5.4239667905848884e-14,True
Kalimantan Selatan,Kalimantan Tengah,3,7.334738757637142e-13,dengan_kontrol,574,distribusi,1.9559303353699047e-11,True
Kalimantan Selatan,Kalimantan Tengah,7,2.888694670281982e-09,dengan_kontrol,574,distribusi,2.962763764391776e-08,True
Kalimantan Selatan,Kalimantan Tengah,14,7.444622863228625e-07,dengan_kontrol,574,distribusi,4.079245404508835e-06,True
Sulawesi Selatan,Kalimantan Tengah,1,0.00418338692666363,dengan_kontrol,574,distribusi,0.008853728945319854,True
Sulawesi Selatan,Kalimantan Tengah,3,0.03723767117857495,dengan_kontrol,574,distribusi,0.05841203322129405,False
Sulawesi Selatan,Kalimantan Tengah,7,0.060028247819590416,dengan_kontrol,574,distribusi,0.09060867595409874,False
Sulawesi Selatan,Kalimantan Tengah,14,0.20807179047655897,dengan_kontrol,574,distribusi,0.2609050664282871,False
Jawa Timur,Kalimantan Timur,1,0.008485607048268968,dengan_kontrol,574,distribusi,0.016240396264629604,True
Jawa Timur,Kalimantan Timur,3,5.129767731643483e-06,dengan_kontrol,574,distribusi,2.290982561192711e-05,True
Jawa Timur,Kalimantan Timur,7,2.1393057318463195e-07,dengan_kontrol,574,distribusi,1.2965489283917087e-06,True
Jawa Timur,Kalimantan Timur,14,1.1581740425303824e-05,dengan_kontrol,574,distribusi,4.7272409899199283e-05,True
Kalimantan Selatan,Kalimantan Timur,1,1.4311465195340052e-06,dengan_kontrol,574,distribusi,7.0673902199210125e-06,True
