Provinsi_Asal,Provinsi_Tujuan,lag_hari,p_value_raw,kontrol,n_observasi,jenis_pasangan,p_value_terkoreksi,signifikan
Sulawesi Selatan,DI Yogyakarta,1,2.8872643246511768e-05,tanpa_kontrol,574,distribusi,0.00010693571572782136,True
Sulawesi Selatan,DI Yogyakarta,3,0.00027340251535302285,tanpa_kontrol,574,distribusi,0.0007811500438657796,True
Sulawesi Selatan,DI Yogyakarta,7,0.001689371033456137,tanpa_kontrol,574,distribusi,0.0038836115711635335,True
Sulawesi Selatan,DI Yogyakarta,14,0.002481079167453248,tanpa_kontrol,574,distribusi,0.005307121213803739,True
Jawa Tengah,Jawa Timur,1,0.0011103555317009644,tanpa_kontrol,574,distribusi,0.002691770985941732,True
Jawa Tengah,Jawa Timur,3,7.896227774212026e-08,tanpa_kontrol,574,distribusi,5.013477951880652e-07,True
Jawa Tengah,Jawa Timur,7,2.817182090137994e-10,tanpa_kontrol,574,distribusi,2.7484703318419457e-09,True
Jawa Tengah,Jawa Timur,14,3.7993136005870093e-10,tanpa_kontrol,574,distribusi,3.46810694003796e-09,True
DI Yogyakarta,Jawa Timur,1,0.28756622557149003,tanpa_kontrol,574,distribusi,0.3373210857143578,False
DI Yogyakarta,Jawa Timur,3,0.07402056472556036,tanpa_kontrol,574,distribusi,0.09804048308021239,False
DI Yogyakarta,Jawa Timur,7,0.7305612991085881,tanpa_kontrol,574,distribusi,0.7855497839877291,False
DI Yogyakarta,Jawa Timur,14,0.2790158634919425,tanpa_kontrol,574,distribusi,0.3282539570493441,False
Bali,Jawa Timur,1,0.006422073840322123,tanpa_kontrol,574,distribusi,0.011729815233465064,True
Bali,Jawa Timur,3,0.07087523630966995,tanpa_kontrol,574,distribusi,0.0954548637167272,False
Bali,Jawa Timur,7,0.04325544097298108,tanpa_kontrol,574,distribusi,0.06201496913689043,False
Bali,Jawa Timur,14,0.1753318084459321,tanpa_kontrol,574,distribusi,0.21325637023211738,False
Nusa Tenggara Barat,Jawa Timur,1,0.043228315681123376,tanpa_kontrol,574,distribusi,0.06201496913689043,False
Nusa Tenggara Barat,Jawa Timur,3,0.017042605101171917,tanpa_kontrol,574,distribusi,0.02840434183528653,True
Nusa Tenggara Barat,Jawa Timur,7,0.06898774383548938,tanpa_kontrol,574,distribusi,0.0935427035057483,False
Nusa Tenggara Barat,Jawa Timur,14,0.08291150963204652,tanpa_kontrol,574,distribusi,0.10909409162111385,False
Sulawesi Selatan,Jawa Timur,1,0.04157385896329116,tanpa_kontrol,574,distribusi,0.06047106758296896,False
Sulawesi Selatan,Jawa Timur,3,0.004014837946857704,tanpa_kontrol,574,distribusi,0.007872231268348438,True
Sulawesi Selatan,Jawa Timur,7,0.01774828880952009,tanpa_kontrol,574,distribusi,0.029336014561190234,True
Sulawesi Selatan,Jawa Timur,14,0.010778730560452652,tanpa_kontrol,574,distribusi,0.018664468502948315,True
Maluku Utara,Jawa Timur,1,0.9341564571170224,tanpa_kontrol,574,distribusi,0.9532208746092066,False
Maluku Utara,Jawa Timur,3,0.9972376114138519,tanpa_kontrol,574,distribusi,0.9972376114138519,False
Maluku Utara,Jawa Timur,7,0.30675658158349184,tanpa_kontrol,574,distribusi,0.35773362283789134,False
Maluku Utara,Jawa Timur,14,0.0007606777543477713,tanpa_kontrol,574,distribusi,0.0019380324951535574,True
DKI Jakarta,Banten,1,0.3134218902284752,tanpa_kontrol,574,distribusi,0.3644440584052038,False
DKI Jakarta,Banten,3,0.6361001572235107,tanpa_kontrol,574,distribusi,0.6914132143733811,False
DKI Jakarta,Banten,7,0.9414153397498964,tanpa_kontrol,574,distribusi,0.9581835519082915,False
DKI Jakarta,Banten,14,0.2726403222176968,tanpa_kontrol,574,distribusi,0.3216994952421201,False
Jawa Barat,Banten,1,0.31561173802260195,tanpa_kontrol,574,distribusi,0.36570231526677915,False
Jawa Barat,Banten,3,0.755767622028916,tanpa_kontrol,574,distribusi,0.8083076171432256,False
Jawa Barat,Banten,7,0.9289537911660433,tanpa_kontrol,574,distribusi,0.950336359249149,False
Jawa Barat,Banten,14,0.8710073610108985,tanpa_kontrol,574,distribusi,0.9072993343863526,False
Jawa Tengah,Banten,1,0.8162773768623358,tanpa_kontrol,574,distribusi,0.8569841226901164,False
Jawa Tengah,Banten,3,0.9576494651329308,tanpa_kontrol,574,distribusi,0.9697716102611957,False
Jawa Tengah,Banten,7,0.9873404253758215,tanpa_kontrol,574,distribusi,0.9909011438184316,False
Jawa Tengah,Banten,14,0.9458695182755916,tanpa_kontrol,574,distribusi,0.9602736226148139,False
Jawa Timur,Bali,1,0.00011550910898905997,tanpa_kontrol,574,distribusi,0.00036380821728837785,True
Jawa Timur,Bali,3,0.0024044804945035593,tanpa_kontrol,574,distribusi,0.005227131509790346,True
Jawa Timur,Bali,7,0.002749578487265413,tanpa_kontrol,574,distribusi,0.005728288515136277,True
Jawa Timur,Bali,14,0.03073513051009655,tanpa_kontrol,574,distribusi,0.04692386337419321,True
Nusa Tenggara Barat,Bali,1,0.002421975589740642,tanpa_kontrol,574,distribusi,0.005236703977817604,True
Nusa Tenggara Barat,Bali,3,0.010157915731702936,tanpa_kontrol,574,distribusi,0.017743084247516045,True
Nusa Tenggara Barat,Bali,7,0.029581281811000646,tanpa_kontrol,574,distribusi,0.045335297794637006,True
Nusa Tenggara Barat,Bali,14,0.14143291410836792,tanpa_kontrol,574,distribusi,0.17569306100418375,False
Jawa Tengah,Nusa Tenggara Barat,1,0.00011771070757039923,tanpa_kontrol,574,distribusi,0.00036784596115749756,True
Jawa Tengah,Nusa Tenggara Barat,3,7.770181575170994e-06,tanpa_kontrol,574,distribusi,3.237575656321248e-05,True
Jawa Tengah,Nusa Tenggara Barat,7,0.00018491011377740434,tanpa_kontrol,574,distribusi,0.0005519704888877742,True
Jawa Tengah,Nusa Tenggara Barat,14,4.326854803407636e-05,tanpa_kontrol,574,distribusi,0.00015453052869312983,True
Jawa Tengah,Nusa Tenggara Timur,1,0.8137480345198849,tanpa_kontrol,574,distribusi,0.8565768784419842,False
Jawa Tengah,Nusa Tenggara Timur,3,0.018563882313377834,tanpa_kontrol,574,distribusi,0.030557830968523183,True
Jawa Tengah,Nusa Tenggara Timur,7,0.022959380147473767,tanpa_kontrol,574,distribusi,0.03658865362147214,True
Jawa Tengah,Nusa Tenggara Timur,14,0.00010571342050663703,tanpa_kontrol,574,distribusi,0.00033695095051965987,True
Nusa Tenggara Barat,Nusa Tenggara Timur,1,0.5551359763959398,tanpa_kontrol,574,distribusi,0.615109115120155,False
Nusa Tenggara Barat,Nusa Tenggara Timur,3,0.0020388937589891133,tanpa_kontrol,574,distribusi,0.004530875019975807,True
Nusa Tenggara Barat,Nusa Tenggara Timur,7,0.019148741052838966,tanpa_kontrol,574,distribusi,0.031182941543095307,True
Nusa Tenggara Barat,Nusa Tenggara Timur,14,0.0027259244075305412,tanpa_kontrol,574,distribusi,0.005708742214723647,True
